내용,한도액,실행금액,지급보증수수료율,기간,담보 지급보증,추가열1
"금 융 상 품 의
종 류 (1)",계 좌 번 호 (2),"액 (3)
금",연 이 자 율,"최 종 이자
지급일
6)",만 기 일 (6),인 출 제한 등 (7)
"ish
a",,"350,000 KRW",3.6%,24.12.31,26.01.03,
"글
금",416-1241-7568-93,"602,418,268 KRW",2.5%,24.10.21,26.10.31,비고
"2
금",786-7653-2796-14,"213,269 KRW",2.4%,,26.12.31,
"글
금",127-4372-8697-58,"52,088 KRW",2.5%,24.12.31,26.12.31,
금,579-6792-9206-94,"204,502 KRW",2.5%,25.10.30,27.01.31,
"2
a",401-1239-1382-69,"12,309 USD",2.5%,25.03.31,26.12.31,비고
"주
금",260-4373-4269-92,"1,294 USD",2.5%,25.03.14,27.05.31,비고
2,972-3259-0179-35,"610,102,380 KRW",2.5%,25.07.19,28.12.31,
"그
a",296-9276-4926-84,"102,245 JPY",9.3%,25.04.04,26.12.31,
2,279-1092-3068-27,"208,852 USD",14.3%,24.12.31,26.10.31,
,018-1239-8510-93,"93,209,201 KRW",1.7%,25.06.30,27.01.31,비고
,170-4683-5204-41,"290,038,294 KRW",1.4%,28.07.31,27.12.31,
예 - 적 금,276-2670-4393-59,"1,234 USD",2.196,25.10.14,26.05.31,
"예 - 적
a",119-3259-0832-25,"21,602 JPY",1.9%,2412.31,26.06.30,
예 - 적 금,209-3945-2035-83,"19,306 JPY",0.7%,25.07.30,26.03.31,비고
예 - 적 금,346-7832-1294-63,"6,248 USD",2.1%,25.04.19,27.01.31,
,623-3522-7273-26,"20,192 KRW",2.4%,25.06.30,27.12.31,비고
"2
금",715-2368-0843-29,"902,582 KRW",3.2%,24.10.29,28.12.31,
"을
금",792-1438-2085-03,"380,204 KRW",11%,25.12.04,27.01.31,
"2
금",019-9248-7923-83,"670,204,329 KRW",2.2%,25.12.31,27.09.30,비고
