그저미고 근,단새,그퍼내 어 피사 ,눈개,대,uU 어 터니,대하어 ,나규가,듯비니다
최종이자
금움상품의,종류(),계좌번 호(2),금,액(3),연이자울(4),지급일,(5),만기일(6),인출제한 등(기)
예금,352-1244-7439-83,"350,000 KRW",3.69,24.12.31,26.01.03
예금,416-1241-7568-93,"602,418,268 KRW",2.59,24.10.21,26.10.31,비고
적금,786-7653-2796-14,"213,269 KRW",2.496,25.12.31,26.12.31
적금,127-4372-8697-58,"52,038 KRW",2.59,24.12.31,26.12.31
적금,579-6792-9206-94,"201,502 KRW",2.59,25.10.30,27.01.31
적금,401-1239-1382-69,"12,309 USD",2.596,25.03.31,26.12.31,비고
적금,260-4373-4269-92,"1,294 USD",2.59,25.03.14,27.05.31,비고
적금,972-3259-0179-35,"610,102,380 KRW",2.596,25.07.19,28.12.31
적금,296-9276-4926-84,"102,245 JPY",9.396,25.0401,26.12.31
적금,279-1092-3068-27,"208,852 USD",14.396,24.12.31,26.10.31
예 적금,018-1239-8510-93,"93,209,201 KRW",1.7%,25.06.30,27.01.31,비고
예 적금,170-4683-5204-41,"290,038,294 KRW",1.496,25.07.31,27.12.31
예 적금,276-2670-4393-59,"1,234 USD",2.1%,25.10.14,26.05.31
예 적금,119-3259-0832-25,"21,602 JPY",1.996,24.12.31,26.06.30
예-적금,209-3945-2035-83,"19,306 JPY",0.7%,25.07.30,26.03.31,비고
예 적금,346-7832-1294-63,"6,248 USD",2.1%,25.04.19,27.01.31
예금,623-3522-7273-26,"20,192 KRW",2.496,25.06.30,27.12.31,비고
적금,715-2368-0843-29,"902,582 KRW",3.206,24.10.2,28.12.31
적금,792-1438-285-03,"380,204 KRW",1.19,25.12.04,27.01.31
예금,019-9248-7923-83,"670,204,329 KRW",2.20,25.12.31,27.09.30,비고
