,352-1244-7439-83,350.000KRW,3.6%,24.12.31,26.01.03,明卫
,416-1241-7568-93,"602,418.268KRW",2.5%,24.10.21,26.10.31,明卫
,786-7653-2796-14,"213,269KRW",2.4%,25.12.31,26.12.31,明卫
,127-4372-8697-58,52.038KRW,2.5%,24.12.31,26.12.31,日卫
,579-6792-9206-94,"204,502KRW",2.5%,25.10.30,27.01.31,日卫
,401-1239-1382-69,"12,309USD",2.5%,25.03.31,26.12.31,卫
,260-4373-4269-92,"1,294USD",2.5%,25.03.14,27.05.31,日卫
,972-3259-0179-35,"610,102,380KRW",2.5%,25.07.19,28.12.31,
,296-9276-4926-84,"102,245JPY",9.3%,25.04.04,26.12.31,
,279-1092-3068-27,208.852USD,14.3%,24.12.31,26.10.31,
,018-1239-8510-93,"93,209,201KRW",1.7%,25.06.30,27.01.31,
,170-4683-5204-41,"290,038,294KRW",1.4%,25.07.31,27.12.31,
,276-2670-4393-59,"1,234USD",2.1%,25.10.14,26.05.31,
,119-3259-0832-25,"21,602JPY",1.9%,24.12.31,26.06.30,
,209-3945-2035-83,"19,306JPY",0.7%,25.07.30,26.03.31,
,346-7832-1294-63,"6,248USD",2.1%,25.04.19,27.01.31,
,623-3522-7273-26,"20,192KRW",2.4%,25.06.30,27.12.31,
,715-2368-0843-29,902.582KRW,3.2%,24.10.29,28.12.31,
,792-1438-2085-03,"380,204KRW",1.1%,25.12.04,27.01.31,
,019-9248-7923-83,"670,204329KRW",2.2%,25.12.31,27.09.30,
